Title,Link
Salesforce,https://en.wikipedia.org/wiki/Salesforce.com
eBay,https://en.wikipedia.org/wiki/EBay
instructions or advice,https://en.wikipedia.org/wiki/Wikipedia:What_Wikipedia_is_not#GUIDE
machine-readable format,https://en.wikipedia.org/wiki/Machine-readable_medium_and_data
text processing,https://en.wikipedia.org/wiki/Text_processing
artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
Semantic Web,https://en.wikipedia.org/wiki/Semantic_Web
grep,https://en.wikipedia.org/wiki/Grep
regular expression,https://en.wikipedia.org/wiki/Regular_expression
Perl,https://en.wikipedia.org/wiki/Perl
Python,https://en.wikipedia.org/wiki/Python_(programming_language)
Static,https://en.wikipedia.org/wiki/Static_web_page
dynamic web pages,https://en.wikipedia.org/wiki/Dynamic_web_page
socket programming,https://en.wikipedia.org/wiki/Socket_programming
wrapper,https://en.wikipedia.org/wiki/Wrapper_(data_mining)
semi-structured data,https://en.wikipedia.org/wiki/Semi-structured_data
XQuery,https://en.wikipedia.org/wiki/XQuery
Document Object Model,https://en.wikipedia.org/wiki/Document_Object_Model
Selenium,https://en.wikipedia.org/wiki/Selenium_(software)
Playwright,https://en.wikipedia.org/wiki/Playwright_(software)
Chrome,https://en.wikipedia.org/wiki/ChromeOS
Firefox,https://en.wikipedia.org/wiki/Firefox
DOM,https://en.wikipedia.org/wiki/Document_Object_Model
XPath,https://en.wikipedia.org/wiki/XPath
Long Tail,https://en.wikipedia.org/wiki/Long_Tail
metadata,https://en.wikipedia.org/wiki/Metadata
Microformat,https://en.wikipedia.org/wiki/Microformat
machine learning,https://en.wikipedia.org/wiki/Machine_learning
computer vision,https://en.wikipedia.org/wiki/Computer_vision
worldwide view,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Countering_systemic_bias
talk page,https://en.wikipedia.org/wiki/Talk:Web_scraping
Learn how and when to remove this message,https://en.wikipedia.org/wiki/Help:Maintenance_template_removal
terms of service,https://en.wikipedia.org/wiki/Terms_of_service
legal claims,https://en.wikipedia.org/wiki/Cause_of_action
Computer Fraud and Abuse Act,https://en.wikipedia.org/wiki/Computer_Fraud_and_Abuse_Act
trespass to chattel,https://en.wikipedia.org/wiki/Trespass_to_chattels
Feist Publications v. Rural Telephone Service,"https://en.wikipedia.org/wiki/Feist_Publications,_Inc.,_v._Rural_Telephone_Service_Co."
trespass to chattels,https://en.wikipedia.org/wiki/Trespass_to_chattels
eBay v. Bidder's Edge,https://en.wikipedia.org/wiki/EBay_v._Bidder%27s_Edge
auction sniping,https://en.wikipedia.org/wiki/Auction_sniping
chattels,https://en.wikipedia.org/wiki/Personal_property
plaintiff,https://en.wikipedia.org/wiki/Plaintiff
defendant,https://en.wikipedia.org/wiki/Defendant
screen scraping,https://en.wikipedia.org/wiki/Screen_scraping
American Airlines,https://en.wikipedia.org/wiki/American_Airlines
injunction,https://en.wikipedia.org/wiki/Injunction
Southwest Airlines,https://en.wikipedia.org/wiki/Southwest_Airlines
US Copyright law,https://en.wikipedia.org/wiki/US_Copyright_law
Supreme Court of the United States,https://en.wikipedia.org/wiki/Supreme_Court_of_the_United_States
Yahoo!,https://en.wikipedia.org/wiki/Yahoo!
Craigslist v. 3Taps,https://en.wikipedia.org/wiki/Craigslist_v._3Taps
Computer Fraud and Abuse Act,https://en.wikipedia.org/wiki/Computer_Fraud_and_Abuse_Act
Cvent Inc.,https://en.wikipedia.org/wiki/Cvent
Eventbrite Inc.,https://en.wikipedia.org/wiki/Eventbrite
district court for the eastern district of Virginia,https://en.wikipedia.org/wiki/United_States_District_Court_for_the_Eastern_District_of_Virginia
browsewrap,https://en.wikipedia.org/wiki/Browsewrap
United States District Court for the Eastern District of Pennsylvania,https://en.wikipedia.org/wiki/United_States_District_Court_for_the_Eastern_District_of_Pennsylvania
QVC,https://en.wikipedia.org/wiki/QVC
"Facebook, Inc. v. Power Ventures, Inc.","https://en.wikipedia.org/wiki/Facebook,_Inc._v._Power_Ventures,_Inc."
Electronic Frontier Foundation,https://en.wikipedia.org/wiki/Electronic_Frontier_Foundation
"Associated Press v. Meltwater U.S. Holdings, Inc.","https://en.wikipedia.org/wiki/Associated_Press_v._Meltwater_U.S._Holdings,_Inc."
Ninth Circuit,https://en.wikipedia.org/wiki/Ninth_Circuit
hiQ Labs v. LinkedIn,https://en.wikipedia.org/wiki/HiQ_Labs_v._LinkedIn
United States Supreme Court,https://en.wikipedia.org/wiki/United_States_Supreme_Court
Van Buren v. United States,https://en.wikipedia.org/wiki/Van_Buren_v._United_States
Internet Archive,https://en.wikipedia.org/wiki/Internet_Archive
citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
Danish Maritime and Commercial Court,https://en.wikipedia.org/wiki/Maritime_and_Commercial_Court_(Denmark)
inchoate,https://en.wikipedia.org/wiki/Inchoate_offense
Ryanair's,https://en.wikipedia.org/wiki/Ryanair
click-wrap,https://en.wikipedia.org/wiki/Clickwrap
Michael Hanna,https://en.wikipedia.org/wiki/Michael_Hanna_(judge)
Spam Act 2003,https://en.wikipedia.org/wiki/Spam_Act_2003
"Information Technology Act, 2000","https://en.wikipedia.org/wiki/Information_Technology_Act,_2000#:~:text=From_Wikipedia,_the_free_encyclopedia_The_Information_Technology,in_India_dealing_with_cybercrime_and_electronic_commerce."
IP address,https://en.wikipedia.org/wiki/IP_address
geolocation,https://en.wikipedia.org/wiki/Geolocation
DNSRBL,https://en.wikipedia.org/wiki/DNSBL
web service,https://en.wikipedia.org/wiki/Web_service
API,https://en.wikipedia.org/wiki/Application_programming_interface
user agent,https://en.wikipedia.org/wiki/User_agent
strings,https://en.wikipedia.org/wiki/String_(computer_science)
robots.txt,https://en.wikipedia.org/wiki/Robots_exclusion_standard
googlebot,https://en.wikipedia.org/wiki/Googlebot
CAPTCHA,https://en.wikipedia.org/wiki/CAPTCHA
application firewalls,https://en.wikipedia.org/wiki/Application_firewall
honeypot,https://en.wikipedia.org/wiki/Honeypot_(computing)
Obfuscation,https://en.wikipedia.org/wiki/Obfuscation
CSS sprites,https://en.wikipedia.org/wiki/CSS_sprite
accessibility,https://en.wikipedia.org/wiki/Web_accessibility
screen reader,https://en.wikipedia.org/wiki/Screen_reader
robots.txt,https://en.wikipedia.org/wiki/Robots_exclusion_standard
tarpit,https://en.wikipedia.org/wiki/Tarpit_(networking)
poison their dataset,https://en.wikipedia.org/wiki/Data_poisoning
Transport Layer Security,https://en.wikipedia.org/wiki/Transport_Layer_Security
Google Chrome,https://en.wikipedia.org/wiki/Google_Chrome
Python,https://en.wikipedia.org/wiki/Python_(programming_language)
cryptographic ciphers,https://en.wikipedia.org/wiki/Cipher_suite
IP address,https://en.wikipedia.org/wiki/IP_address
Internet portal,https://en.wikipedia.org/wiki/Portal:Internet
Archive.today,https://en.wikipedia.org/wiki/Archive.today
Common Crawl Foundation,https://en.wikipedia.org/wiki/Common_Crawl_Foundation
Comparison of feed aggregators,https://en.wikipedia.org/wiki/Comparison_of_feed_aggregators
Data scraping,https://en.wikipedia.org/wiki/Data_scraping
Data wrangling,https://en.wikipedia.org/wiki/Data_wrangling
Importer,https://en.wikipedia.org/wiki/Importer_(computing)
Job wrapping,https://en.wikipedia.org/wiki/Job_wrapping
Knowledge extraction,https://en.wikipedia.org/wiki/Knowledge_extraction
OpenSocial,https://en.wikipedia.org/wiki/OpenSocial
Scraper site,https://en.wikipedia.org/wiki/Scraper_site
Fake news website,https://en.wikipedia.org/wiki/Fake_news_website
Spamdexing,https://en.wikipedia.org/wiki/Spamdexing
Domain name drop list,https://en.wikipedia.org/wiki/Domain_name_drop_list
Text corpus,https://en.wikipedia.org/wiki/Text_corpus
Web archiving,https://en.wikipedia.org/wiki/Web_archiving
Web crawler,https://en.wikipedia.org/wiki/Web_crawler
Offline reader,https://en.wikipedia.org/wiki/Offline_reader
Link farm,https://en.wikipedia.org/wiki/Link_farm
Search engine scraping,https://en.wikipedia.org/wiki/Search_engine_scraping
Web crawlers,https://en.wikipedia.org/wiki/Category:Web_crawlers
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
9781595936097,https://en.wikipedia.org/wiki/Special:BookSources/9781595936097
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
cite journal,https://en.wikipedia.org/wiki/Template:Cite_journal
link,https://en.wikipedia.org/wiki/Category:CS1_maint:_multiple_names:_authors_list
Reuters,https://en.wikipedia.org/wiki/Reuters
Category,https://en.wikipedia.org/wiki/Help:Category
Web scraping,https://en.wikipedia.org/wiki/Category:Web_scraping
CS1 maint: multiple names: authors list,https://en.wikipedia.org/wiki/Category:CS1_maint:_multiple_names:_authors_list
CS1 Danish-language sources (da),https://en.wikipedia.org/wiki/Category:CS1_Danish-language_sources_(da)
CS1 French-language sources (fr),https://en.wikipedia.org/wiki/Category:CS1_French-language_sources_(fr)
Articles with short description,https://en.wikipedia.org/wiki/Category:Articles_with_short_description
Short description is different from Wikidata,https://en.wikipedia.org/wiki/Category:Short_description_is_different_from_Wikidata
Articles needing additional references from April 2023,https://en.wikipedia.org/wiki/Category:Articles_needing_additional_references_from_April_2023
All articles needing additional references,https://en.wikipedia.org/wiki/Category:All_articles_needing_additional_references
All articles with unsourced statements,https://en.wikipedia.org/wiki/Category:All_articles_with_unsourced_statements
Articles with unsourced statements from January 2026,https://en.wikipedia.org/wiki/Category:Articles_with_unsourced_statements_from_January_2026
Articles needing cleanup from October 2025,https://en.wikipedia.org/wiki/Category:Articles_needing_cleanup_from_October_2025
All pages needing cleanup,https://en.wikipedia.org/wiki/Category:All_pages_needing_cleanup
Articles containing how-to sections,https://en.wikipedia.org/wiki/Category:Articles_containing_how-to_sections
Articles with limited geographic scope from October 2015,https://en.wikipedia.org/wiki/Category:Articles_with_limited_geographic_scope_from_October_2015
United States-centric,https://en.wikipedia.org/wiki/Category:United_States-centric
Articles with unsourced statements from April 2023,https://en.wikipedia.org/wiki/Category:Articles_with_unsourced_statements_from_April_2023
Creative Commons Attribution-ShareAlike 4.0 License,https://en.wikipedia.org/wiki/Wikipedia:Text_of_the_Creative_Commons_Attribution-ShareAlike_4.0_International_License
About Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:About
Disclaimers,https://en.wikipedia.org/wiki/Wikipedia:General_disclaimer
